Image ID,Creator,Short Title,Title,Created:from,Created:to,Last DB update,Uploaded to DB,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,Licence,ImgDB ID,Metadata editor,,
228,?,Begehren der obderennsischen Bauernschaft in 12 Artikeln beim Kaiser,Das Begehren der obderennsischen Bauernschaft in 12 Artikeln beim Kaiser überreicht,1626-01-01,1626-12-31,5/20/2014 21:29,4.10.2014,12,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 12,,AUT,,Original-Kupferstich im Landesarchiv / Linz,,,,0,imgs/1626_AUT__228.jpg,m.griesse,,
229,?,Belagerung von Linz durch Stephan Fadinger,Stephan Fädinger belägert Linz und bleibt davor,1626-01-01,1700-12-31,8/26/2015 12:47,4.10.2014,12,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 9,,AUT,,Original-Kupferstich im Landesarchiv / Linz,,,Oesterreichische Religions-Reformation und Ober-Ennserischer 
Bauern-Krieg. Nebst einem Bild von Fädinger belagert in Linz und bleibt 
davor. Fuhrmann / Alt und Neu Oesterreich. II. Till. / S. 392. Gedruckt zu
 Wien 1735. Im Mus.,0,imgs/1626_AUT__229.jpg,m.griesse,,
230,?,Belagerung von Linz durch die Bauern,Belagerung von Linz durch die Bauern,1626-01-01,1626-12-31,4/13/2014 15:15,4.10.2014,12,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 10,,AUT,,Original-Kupferstich im Landesmuseum / Linz,,,Picture figures on top of the Extract zweier Particularschreiben eins an Signor Pladis von den rebellischen Bauren im Land ob der Ens  / das andere an Fertilli Frau Orschu. which are presented as two (fictive) letters / one by Signor Francesco Spazagamini,0,imgs/1626_AUT__230.jpg,m.griesse,,
231,?,Gründliche und Warhafftige Beschreibung des Auffstands von den Bawren ob der Enss,Gründliche und Warhafftige Beschreibung des Auffstands von den Bawren ob der Enss/ wie ihr nemlich Siebentzig tausend beieinander seynd und 30. Stück Geschütz bei sich haben / auch Städte / Klöster und Flecken einnemen.,1626-01-01,1626-12-31,4/20/2014 19:30,4.10.2014,1,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 13,,AUT,Augsburg,Original im Landesarchiv Linz,,,,0,imgs/1626_AUT__231.jpg,m.griesse,,
232,?,Daniel Mair / Sauschneider / verschreibt sich 1638 in Braunau dem Teufel,Daniel Mair / Sauschneider / verschreibt sich 1638 in Braunau dem Teufel Marcolphus. (Bildlegende zit. nach. Scheutz 2008 / 66-86).,1638-01-01,1670-12-31,4.10.2014 17:00,4.10.2014,1,1,2,,http://www.ooegeschichte.at/themen/politik-recht-und-gesellschaft/schande-folter-hinrichtung/tatort-taeterueberfuehrung-folter-und-prozess/kaperger-bande/,Aus: Fünfundzwanzigteiliger Bilderzyklus zur Kaperger Bande von 1657/58 / Ölgemälde / Leihgabe Stift Schlierbach / Stiftsarchiv  / Inv. Nr. 377-401.,AUT,,Stift Schlierbach / Inv. Nr. 377-401,,Stift Schlierbach / Foto: OÖ. Landesmuseen / Ernst Grilnberger,,3,imgs/1638_AUT__232.jpg,m.griesse,,
233,?,Fünfundzwanzigteiliger Bilderzyklus zur Kaperger Bande Bild 2,Er kommt nach Oberösterreich / befreundet sich mit Georg Kaperger und Sigmund Ridler und überredet die beiden zu einer Teufelsverschreibung.,1657-01-01,1658-12-31,4.10.2014 16:43,4.10.2014,2,2,2,,http://www.ooegeschichte.at/themen/politik-recht-und-gesellschaft/schande-folter-hinrichtung/tatort-taeterueberfuehrung-folter-und-prozess/kaperger-bande/,(Bildlegende zit. nach. Scheutz 2008 / 66-86),AUT,,,,Stift Schlierbach / Foto: OÖ. Landesmuseen / Ernst Grilnberger,,3,imgs/1657_AUT__233.jpg,m.griesse,,
234,?,Kaperger und Ridler schließen unter Anleitung des Sauschneiders ein Pakt mit dem Teufel,Georg Kaperger und Sigmund Ridler schließen unter Anleitung des Sauschneiders im Garten der Vogelhütte einen mit Blut gefertigten Pakt mit den Teufeln Marcolphus und Spitzhuet,1657-01-01,1658-12-31,4.10.2014 16:49,4.10.2014,2,2,2,,http://www.ooegeschichte.at/themen/politik-recht-und-gesellschaft/schande-folter-hinrichtung/tatort-taeterueberfuehrung-folter-und-prozess/kaperger-bande/,Bildlegende zit. nach. Scheutz 2008 / 66-86,AUT,,Fünfundzwanzigteiliger Bilderzyklus zur Kaperger Bande von 1657/58 / Ölgemälde / Leihgabe Stift Schlierbach / Stiftsarchiv / Inv. Nr. 377-401.,,Stift Schlierbach / Foto: OÖ. Landesmuseen / Ernst Grilnberger,,3,imgs/1657_AUT__234.jpg,m.griesse,,
235,?,Sigmund Ridler schändet eine Hostie in Vorchdorf,Sigmund Ridler entfremdet in der Pfarrkirche Vorchdorf eine Hostie und schändet diese zur Freude des Teufels in einem Garten an der Alm,1657-01-01,1658-12-31,4.10.2014 17:06,4.10.2014,2,2,2,,http://www.ooegeschichte.at/themen/politik-recht-und-gesellschaft/schande-folter-hinrichtung/tatort-taeterueberfuehrung-folter-und-prozess/kaperger-bande/,(Bildlegende zit. nach. Scheutz 2008 / 66-86),AUT,,Ölgemälde / Leihgabe Stift Schlierbach / Stiftsarchiv / Inv. Nr. 377-401.,,Stift Schlierbach / Foto: OÖ. Landesmuseen / Ernst Grilnberger,,3,imgs/1657_AUT__235.jpg,m.griesse,,
237,?,Ridler erzeugt Hagelgewitter mit Hostie,Ridler macht nach Anleitung seines Höllengeistes einen Bauschen mit einem Stück Hostie und erzeugt damit 40 Hagelgewitter,1657-01-01,1658-12-31,4.12.2014 00:08,4.11.2014,2,2,2,,www.ooegeschichte.at/themen/politik-recht-und-gesellschaft/schande-folter-hinrichtung/tatort-taeterueberfuehrung-folter-und-prozess/kaperger-bande/,(Bildlegende zit. nach. Scheutz 2008 / 66-86),AUT,Ölgemälde / Leihgabe Stift Schlierbach / Stiftsarchiv / Inv. Nr. 377-401.,Oberösterreichisches Landesmuseum,,,,0,imgs/1657_AUT__237.jpg,m.griesse,,
238,?,Nie erhörte mißhandlungen in Schlesien von Todtengräbern begangen / wie sie 1606 hingerichtet worden,Nie erhörte/ abscheuliche/ und unnatürliche Thatten/ und mißhandlungen/ in dem Fürstenthumb Schlesien/ von etlichen Todtengräbern begangen/ wie sie auch/ wegen ihrer Mißhandlungen/ in disem 1606. Jar den 20. Des Monats Septembris/ hingerichtet worden,1606-01-01,1606-12-31,4.12.2014 00:20,4.11.2014,12,2,2,,Kunzle / Early modern comic strip / p.171,,DEU,Augsburg,?,,,,0,imgs/1606_DEU__238.jpg,m.griesse,,
239,Hollar / Wenzel,A public execution at Linz,A public execution on the main square of Linz,1636-01-01,1636-12-31,4.12.2014 03:03,4.12.2014,12,1,1,,http://upload.wikimedia.org/wikipedia/commons/e/e9/Hinrichtung_Martin_Aichingers.png,,AFG,,The Duke of Devonshire / Chatsworth. Welesley Collection / later Rev. J.J. Heywood Collection.,,,,0,imgs/1636_AFG__239.png,m.griesse,,
240,?,Bauernführer Jäcklein Rohrbach wird 1525 in Neckargartach bei lebendigem Leib verbrannt,Bauernführer Jäcklein Rohrbach wird 1525 in Neckargartach bei lebendigem Leib verbrannt.,1551-01-01,1551-12-31,4.12.2014 17:39,4.12.2014,1,1,2,,http://commons.wikimedia.org/wiki/File:Rohrbach-verbrennung-1525.jpg,,DEU,,,,,Cf. on Rohrbach: 
http://de.wikipedia.org/wiki/J%C3%A4cklein_Rohrbach,0,imgs/1551_DEU__240.jpg,m.griesse,,
241,Berger / Georg,Hinrichtung der Wiedertäufer auf dem Prinzipalmarkt von Münster (1535),Hinrichtung der Wiedertäufer auf dem Prinzipalmarkt von Münster (1535),1607-01-01,1607-12-31,4/14/2014 16:06,4/13/2014,1,1,2,,http://commons.wikimedia.org/wiki/File:MuensterHinrichtungTaeufer.jpg,,DEU,,,,,,0,imgs/1607_DEU__241.jpg,m.griesse,,
242,?,Gemälde mit 12 Einzeldarstellunen aus dem Bauernkrieg 1626,Gemälde mit 12 Einzeldarstellunen aus dem Bauernkrieg 1626,1626-01-01,1650-12-31,8/24/2015 14:11,4/13/2014,1,1,2,three copies of this picture-series have been found / 1) OÖ Landesmuseum 2) collection of the Stift Kremsmünster / 3) private possession,OÖ Landesmuseum / attachment sent by Schultes,Der oberösterreichische Bauernkrieg. Ausstellungskatalog / II 19f. with transcription (another copy / some slight differences / different order of pictures),AUT,,OÖ Landesmuseum,,,,0,imgs/1626_AUT__242.jpg,m.griesse,,
243,?,Rechtgründlicher Bericht Des grossen Tumult vnd Aufstand in Osterreich,Rechtgründlicher Bericht Des Anfangs vnd Verlauffs Der Bawren grossen Tumult vnd Aufstand in Osterreich ob der Enss etc. wie nemblich nunmehr fast in die Hundert Tausent Mann sich zusammen gethan / ein Dorff / Fleck / Schloss vnd Stadt nach dem andern m,1626-01-01,1626-12-31,4/21/2014 0:30,4/13/2014,12,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 15,,AUT,,Staatsbibliothek Dresden,,,Printed version of the report quoted in Koch / Beiträge I / 85 [149] fg. (Cf. Stieve / II / 270 / no.10.,0,imgs/1626_AUT__243.jpg,m.griesse,,
244,?,Erschrockener bewaffneter Bauer,Erschrockener bewaffneter Bauer,1626-01-01,1626-12-31,4/20/2014 0:26,4/13/2014,12,1,2,Used in different pamphlets of 1626,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 18,,AUT,,Staatsbibliothek Berlin,,,,0,imgs/1626_AUT__244.jpg,m.griesse,,
245,?,Glucks Hafen Des vor ein Hundert Jahrn vorgangenen Baurenkriegs,Glucks Hafen Des vor ein Hundert Jahrn vorgangenen Baurenkriegs. Sambt Eigentlicher Contrafactur unnd Abriss der vornembsten officirn und Befelchshabern / So wol der gewehr und Waffen...,1627-01-01,1627-12-31,8/19/2015 16:20,4/14/2014,1,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 22, John Roger Paas / German Political Broadside / v. 4 / 252 / P-1119,,AUT,,Staatsbibliothek Dresden,,,,0,imgs/1627_AUT__245.jpg,m.griesse,,
246,?,Bauern im Kampf,Außführliche Avisa auß Ennß/ Wie abermaln die Baurschafft den 29. Julii Lintz mit Stürmen angeloffen/ widerumb abgetrieben/ und bey 1000. Mann der ihren verlohren...,1626-01-01,1626-12-31,4/14/2014 5:43,4/14/2014,12,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 21,,AUT,,Nationalbibliothek Wien,,,,0,imgs/1626_AUT__246.jpg,m.griesse,,
247,unknown,The Execution of Sir Thomas Armstrong 1684,The Execution of Sir Thomas Armstrong 1684,1684-01-01,1684-12-31,4/16/2014 19:49,4/16/2014,12,1,5,,www.bridgemanart.com,,GBR,,,,Bridgeman Art Library,,0,imgs/1684_GBR__247.jpg,monika,,
248,unknown,The execution of Cromwell / Bradshaw and Ireton in 1661,The execution of Cromwell / Bradshaw and Ireton in 1661,1661-01-01,1661-12-31,4/16/2014 19:51,4/16/2014,12,1,5,,www.bridgemanart.com,,GBR,,,,Bridgeman Art Library,,0,imgs/1661_GBR__248.jpg,monika,,
249,unknown,Gibbeting of Captain William Kid in 1701,Gibbeting of Captain William Kid in 1701,1701-01-01,1701-12-31,4/17/2014 23:18,4/16/2014,12,1,5,,www.bridgemanart.com,,GBR,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1701_GBR__249.jpg,monika,,
250,unknown,Murder of Arthur Wolfe / lst Viscount Kilwarden (1739-1803),Murder of Arthur Wolfe / lst Viscount Kilwarden (1739-1803),1802-01-01,1802-12-31,4/16/2014 19:54,4/16/2014,12,1,5,,www.bridgemanart.com,,GBR,Great Britain or Ireland?,,,Bridgeman Art Library,,0,imgs/1802_GBR__250.jpg,monika,,
251,unknown,The Trial of Robert Francois Damiens (1715-57),The Trial of Robert Francois Damiens (1715-57),1757-01-01,1757-12-31,4/16/2014 19:57,4/16/2014,12,1,6,,www.bridgemanart.com,,FRA,France,,,Bridgeman Art Library,,0,imgs/1757_FRA__251.jpg,monika,,
252,Paul Revere,The Able Doctor / or America Swallowing the Bitter Draught,The Able Doctor / or America Swallowing the Bitter Draught,1774-01-01,1774-12-31,2/15/2015 16:04,4/16/2014,12,5,5,,www.bridgemanart.com,,USA,Boston,,,Bridgeman Art Library,The print is described in George: English Political Caricatures to 1792. A study of opinion and propaganda / Oxford 1959 / p. 150 (PLATE 47),0,imgs/1774_USA__252.jpg,monika,,
253,unknown,Whiskey Rebellion 1794,Whiskey Rebellion 1794,1794-01-01,1794-12-31,4/18/2014 0:46,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1794_USA__253.jpg,monika,,
254,?,Stefan Fadinger beim Mahle im Stift zu Kremsmünster,Stefan Fadinger beim Mahle im Stift zu Kremsmünster,1626-01-01,1626-12-31,11.8.2016 20:15,4/16/2014,1,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 26,,AUT,,Stift Kremsmünster,,,Hartmann / Historische Volkslieder und Zeitgedichte vom 16. bis 19. Jahrhundert / Bd.1 / p.200-202 / no.44. (Transcription of the text and detailed description of the picture)In color / but low resolution on: http://www.ooegeschichte.at/pic.html?tx_theme_pi3%5Bfile%5D=%2Fmedia%2Fbilder%2Fallgemein%2Fausstellungen%2Fkulinarisches_kloster%2Fstift_schlaegl%2Fgemaelde_fadinger_01.jpg&cHash=583d11676d2f2b4c07e05885e99ce600,0,imgs/1626_AUT__254.jpg,m.griesse,,
255,unknown,American Gibbet,American Gibbet,1770-01-01,1800-12-31,4/16/2014 20:03,4/16/2014,13,4,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1770_USA__255.jpg,monika,,
256,unknown,Petition from the General Congress in America to the King /,Petition from the General Congress in America to the King / Continental Congress / 26th October 1774,1774-01-01,1774-12-31,4/16/2014 20:04,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1774_USA__256.jpg,monika,,
257,unknown,The Testimony of the People Called Quakers,The Testimony of the People Called Quakers / Given Forth by a Meeting . . . in Pennsylvania and New-Jersey' / Philadelphia / 1775,1775-01-01,1775-12-31,4/16/2014 20:06,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,Philadelphia / United States,,,Bridgeman Art Library,,0,imgs/1775_USA__257.jpg,monika,,
258,unknown,American Bank Notes,American Bank Notes,1776-01-01,1779-12-31,4/16/2014 20:07,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1776_USA__258.jpg,monika,,
260,unknown,Warning by Boston Patriots not to land Tea,Warning by Boston Patriots not to land Tea,1773-01-01,1773-12-31,12/31/2015 15:09,4/16/2014,1,1,5,,www.bridgemanart.com,,USA,Boston / United States,diverse archives in North America,expired,Bridgeman Art Library,,0,imgs/1773_USA__260.jpg,monika,,
261,unknown,Proclamation by the Sons of Liberty,Proclamation by the Sons of Liberty,1765-01-01,1770-12-31,4/16/2014 20:12,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1765_USA__261.jpg,monika,,
262,unknown,Pulling down the Statue of King George III,Pulling down the Statue of King George III,1776-01-01,1800-12-31,4/16/2014 20:14,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1776_USA__262.jpg,monika,,
263,unknown,John Dickinson / the Patriotic American Farmer,John Dickinson / the Patriotic American Farmer,1770-01-01,1800-12-31,4/16/2014 20:15,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1770_USA__263.jpg,monika,,
264,unknown,Ode to the Liberty Tree / written by Thomas Paine,Ode to the Liberty Tree / written by Thomas Paine,1775-01-01,1775-12-31,4/16/2014 20:17,4/16/2014,12,1,5,Pennsylvania Magazine,www.bridgemanart.com,,USA,Pennsylvania / United States,,,Bridgeman Art Library,,0,imgs/1775_USA__264.jpg,monika,,
265,unknown,Songs on the evacuation of Boston 1776,Songs on the evacuation of Boston 1776,1776-01-01,1776-12-31,4/16/2014 20:19,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,Boston / United States,,,Bridgeman Art Library,,0,imgs/1776_USA__265.jpg,monika,,
266,unknown,Article on the Boston Massacre,Article on the Boston Massacre,1776-01-01,1776-12-31,4/16/2014 20:21,4/16/2014,12,1,5,Boston Chronicle',www.bridgemanart.com,,USA,Boston / United States,,,Bridgeman Art Library,,0,imgs/1776_USA__266.jpg,monika,,
267,Paul Revere,The Boston Massacre,The Boston Massacre,1770-01-01,1770-12-31,4/16/2014 20:23,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,Boston / United States,,,Bridgeman Art Library,,0,imgs/1770_USA__267.jpg,monika,,
268,Ezekiel Russell,Bloody Butchery of the British Troops: or the Runaway Fight of the Regulars,Bloody Butchery of the British Troops: or the Runaway Fight of the Regulars,1775-01-01,1775-12-31,3.5.2015 13:38,4/16/2014,12,1,5,North America / Britain,www.bridgemanart.com,Selected Americana from Sabin's Dictionary of books relating to America , fiches A-64 /376-64 /377.,USA,Salem / United States,National Library of Scotland,National Library of Scotland,Bridgeman Art Library,,2,imgs/1775_USA__268.jpg,monika,,
269,unknown,Representation of the Federal Chariot,Representation of the Federal Chariot,1788-01-01,1788-12-31,4/16/2014 20:26,4/16/2014,12,4,5,,www.bridgemanart.com,,USA,Boston / United States,,,Bridgeman Art Library,illustration from 'Bickerstaff's Boston Almanack',0,imgs/1788_USA__269.jpg,monika,,
270,unknown,The Battle of Lexington on 19th April 1775,The Battle of Lexington on 19th April 1775,1800-01-01,12/31/1900,4/16/2014 20:30,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1800_USA__270.jpg,monika,,
271,unknown,Address to the American Army,Address to the American Army,1775-01-01,1775-12-31,4/16/2014 20:32,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,Salem / United States,,,Bridgeman Art Library,,0,imgs/1775_USA__271.jpg,monika,,
272,unknown,Destruction of Tea in the Boston Harbour,Destruction of Tea in the Boston Harbour,1773-01-01,1800-12-31,4/16/2014 20:34,4/16/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1773_USA__272.jpg,monika,,
273,?,Stephan Fadinger: Portrait,Stephan Fadinger: Portrait,1750-01-01,1750-12-31,11.7.2016 10:01,4/16/2014,1,1,2,,http://wienwiki.wienerzeitung.at/WIENWIKI/index.php?title=Datei%3AStefan_Fadinger_Bild.jpg&filetimestamp=20120411020335,,AUT,,Bildnis von Stefan Fadinger im „Stefan Fadinger-Museum“ St. Agatha,?,Johann Werfring (photographer),,0,imgs/1750_AUT__273.jpg,m.griesse,,
274,?,Ein geistreicher Gesang / welchen die Baurn... alle 24 Stund viermal... zu singen pflegen,Ein geistreicher Gesang / welchen die Baurn im Ländlein ob der Enns alle 24 Stund viermal... wie auch allezeit wann man sie angreifen will / knieend / mit gen Himmel aufgehobenen Händen... zu singen pflegen.,1626-01-01,1626-12-31,4/22/2014 18:18,4/17/2014,12,1,2,,Julius Strnadt: Der Bauernkrieg in Oberösterreich im Jahre 1626 / Tafel 27,,AUT,,,,,August Hartmann / Historische Volkslieder und Zeitgedichte / I / S.194-199.,0,imgs/1626_AUT__274.jpg,m.griesse,,
275,?,Stephan Fadinger: Portrait,Stephan Fadinger: Portrait,1628-01-01,1628-12-31,4/17/2014 15:24,4/17/2014,2,1,2,,,,AUT,,OÖ Landesmuseum lnvnr. G96,,,,0,imgs/1628_AUT__275.jpg,m.griesse,,
276,William Hogarth,March of the Guard to Finchley (detail),March of the Guard to Finchley (detail),1750-01-01,1750-12-31,4/17/2014 23:24,4/17/2014,2,1,5,,www.bridgemanart.com,,GBR,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1750_GBR__276.jpeg,monika,,
277,unknown,Mercy outweighs butchery,Mercy outweighs butchery (Jacobite print),1749-01-01,1749-12-31,4/17/2014 23:29,4/17/2014,12,1,5,,,,GBR,Edinburgh,National Library of Scotland,,Bridgeman Art Library,,0,imgs/1749_GBR__277.png,monika,,
279,unknown,The agreeable contrast,The agreeable contrast (caricature),1746-01-01,1746-12-31,4/17/2014 23:42,4/17/2014,12,1,5,,,,GBR,Edinburgh,National Library of Scotland,,National Library of Scotland,,0,imgs/1746_GBR__279.jpg,monika,,
280,unknown,The agreeable contrast between John of Gant and Don Carlos,The agreeable contrast between the formidable John of Gant and Don Carlos of Southern Extraction,1749-01-01,1749-12-31,4/17/2014 23:44,4/17/2014,12,1,5,,,,GBR,Edinburgh,National Library of Scotland,,National Library of Scotland,,0,imgs/1749_GBR__280.jpg,monika,,
281,unknown,The true contrast between the Hero and the Bravo,The true contrast between the British Hero and the frighten'd Italian Bravo,1746-01-01,1746-12-31,4/17/2014 23:47,4/17/2014,12,1,5,,,,GBR,London / Great Britain,National Library of Scotland,,National Library of Scotland,,0,imgs/1746_GBR__281.jpg,monika,,
283,unknown,The agreeable contrast between the British Hero / and the Italian Fugitive,The agreeable contrast between the British Hero / and the Italian Fugitive,1746-01-01,1746-12-31,4/18/2014 0:10,4/17/2014,12,1,5,,,,GBR,London / Great Britain,British Museum London,,British Museum London,,0,imgs/1746_GBR__283.jpg,monika,,
284,John Gabriel Stedman,The Execution of Breaking on the Rack,The Execution of Breaking on the Rack,1793-01-01,1806-12-31,4/18/2014 0:13,4/17/2014,12,5,5,,from 'Narrative of a Five Years' Expedition against the Revolted Negroes of Surinam' / pub. 1806,,GBR,London / Great Britain,British Museum London,,Bridgeman Art Library,,0,imgs/1793_GBR__284.jpg,monika,,
285,unknown,Shocking circumstance on the intended execution of a criminal,Shocking circumstance on the intended execution of a criminal,1750-01-01,1800-12-31,4/18/2014 0:17,4/17/2014,12,1,5,,,,GBR,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1750_GBR__285.jpg,monika,,
286,unknown,The execution of Perroll in Smithfield for defrauding his creditors under a commission of bankruptcy,The execution of Perroll in Smithfield for defrauding his creditors under a commission of bankruptcy,1750-01-01,1800-12-31,4/18/2014 0:18,4/17/2014,12,1,5,,,,GBR,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1750_GBR__286.jpg,monika,,
287,unknown,An exact view of the execution of Lord Ferrers,An exact view of the execution of Lord Ferrers,1750-01-01,1800-12-31,4/18/2014 0:19,4/17/2014,12,1,5,,,,GBR,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1750_GBR__287.jpg,monika,,
288,unknown,Hanging a pirate at Wapping by the River Thames in the eighteenth century,Hanging a pirate at Wapping by the River Thames in the eighteenth century,1750-01-01,1800-12-31,4/18/2014 0:20,4/17/2014,12,1,5,,,,GBR,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1750_GBR__288.jpg,monika,,
289,unknown,Woman counterfeiter of silver coins burned at the stake,Woman counterfeiter of silver coins burned at the stake,1789-01-01,1789-12-31,4/18/2014 0:22,4/17/2014,12,1,5,,from a collection of chapbooks on esoterica & folklore,,GBR,London / Great Britain,,,Bridgeman Art Library,from a collection of chapbooks on esoterica & folklore,0,imgs/1789_GBR__289.jpg,monika,,
290,unknown,New Gallows built for public executions in 1785 at the Old Bailey,New Gallows built for public executions in 1785 at the Old Bailey,1785-01-01,1785-12-31,4/18/2014 0:23,4/17/2014,12,1,5,,,,GBR,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1785_GBR__290.jpg,monika,,
291,unknown,Colonial resistance to the Stamp and Tea Acts,Colonial resistance to the Stamp and Tea Acts,1774-01-01,1774-12-31,4/18/2014 0:29,4/17/2014,12,1,5,,,,USA,United States,Bunker Hill Museum / Boston / USA,,unknown,,0,imgs/1774_USA__291.jpg,monika,,
292,unknown,A New Method of Macaroni Making as Practised at Boston in North America / 12 October 1774,A New Method of Macaroni Making as Practised at Boston in North America / 12 October 1774,1774-01-01,1774-12-31,4/19/2014 6:02,4/17/2014,12,1,5,,http://www.loc.gov/pictures/item/2004673300/,,GBR,Great Britain,Library of Congress / Washington D.C. / USA,Library of Congress / Washington D.C. / USA,Bridgeman Art Library,,0,imgs/1774_GBR__292.jpg,monika,,
293,unknown,The Bostonians in Distress,The Bostonians in Distress,1774-01-01,1774-12-31,4/18/2014 0:34,4/17/2014,12,1,5,,,,GBR,Great Britain,,,Bridgeman Art Library,,0,imgs/1774_GBR__293.jpg,monika,,
294,unknown,The Boston Tea Party / 16 December 1773,The Boston Tea Party / 16 December 1773,1789-01-01,1789-12-31,4/18/2014 0:36,4/17/2014,12,1,5,,,,GBR,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1789_GBR__294.jpg,monika,,
295,unknown,The Bostonians Paying the Exciseman / or Tarring and Feathering,The Bostonians Paying the Exciseman / or Tarring and Feathering,1774-01-01,1774-12-31,4/18/2014 0:39,4/17/2014,12,1,5,,,,USA,United States,American Antiquarian Society / Worcester / Massachusetts / USA,American Antiquarian Society / Worcester / Massachusetts / USA,Bridgeman Art Library,,0,imgs/1774_USA__295.jpg,monika,,
296,unknown,Boston patriots forcing British tea into a tax collector / who has been tarred and feathered,Boston patriots forcing British tea into a tax collector / who has been tarred and feathered,1773-01-01,1800-12-31,4/18/2014 0:42,4/17/2014,12,1,5,,,,USA,United States,,,Bridgeman Art Library,,0,imgs/1773_USA__296.jpg,monika,,
297,unknown,American revolutionaries toppling the statue of British King George III,American revolutionaries toppling the statue of British King George III,1776-01-01,1800-12-31,4/18/2014 0:45,4/17/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1776_USA__297.jpg,monika,,
298,John Goldar,The Unfortunate Death of Major Andre / Adjutant General to the English Army,The Unfortunate Death of Major Andre / Adjutant General to the English Army / at Headquarters in New York / 2nd October 1780,1783-01-01,1783-12-31,4/13/2017 11:46,4/17/2014,1,5,5,,www.bridgemanart.com / www.loc.gov,,USA,United States,Library of Congress / Washington D.C.,Library of Congress,Bridgeman Art Library / Library of Congress,,0,imgs/1783_USA__298.jpg,monika,,
299,unknown,Execution of Major John Andre,Execution of Major John Andre,1780-01-01,1780-12-31,4/18/2014 0:51,4/17/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1780_USA__299.jpg,monika,,
300,unknown,Bostonians burning the Stamped Paper,Bostonians burning the Stamped Paper,1770-01-01,1800-12-31,4/18/2014 0:53,4/17/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1770_USA__300.jpg,monika,,
301,unknown,Representation of the figures exhibited and paraded through the streets of Philadelphia,Representation of the figures exhibited and paraded through the streets of Philadelphia on Saturday 30th September 1780,1780-01-01,1780-12-31,4/18/2014 0:59,4/17/2014,12,1,5,,www.bridgemanart.com,,USA,United States,,,Bridgeman Art Library,,0,imgs/1780_USA__301.jpg,monika,,
302,unknown,Reconciliation between Britannia and her Daughter America,Reconciliation between Britannia and her Daughter America,1782-01-01,1782-12-31,4/18/2014 1:00,4/17/2014,12,1,5,,www.bridgemanart.com,,USA,London / Great Britain,,,Bridgeman Art Library,,0,imgs/1782_USA__302.jpg,monika,,
